repo_full_name,path,sha,key_path,stargazers_count,minimum_number_of_calls,minimum_number_of_calls_is_default,sliding_window_size,sliding_window_size_is_default,lambda_star,likely_tutorial
shiva508/studentpool_config,dear-comrade-tutorial-docker.yml,9ff0433f5b258b06ca54b063771a1e44a17f28f9,resilience4j.circuitbreaker.instances.user-circuit-breaker,0,10,False,60,False,0.16666666666666666,True
carlosgag/java,cardcost/src/main/resources/application.yml,7e7efff5f8f400f1ff15274a4447ba8b95d6f12e,resilience4j.circuitbreaker.instances.binList,0,20,False,10,False,2.0,False
vladimirqt233/DAD_ProyectoG2,config-data/ms-venta-service.yml,e5e82793fef15eaa2c1898fcaaaa23febbde6c70,resilience4j.circuitbreaker.instances.libroListarPorIdCB,0,4,False,10,False,0.4,False
23Vvrangler/PROYECTO-DAAA,config-data/producto-service.yml,65e4f0026092a3992c1870893d4848d13204df33,resilience4j.circuitbreaker.instances.pedidoListarPorIdCB,0,4,False,10,False,0.4,False
DavidDevlo/big-data,config-data/ms-venta-service.yml,7e1bd005834e5f1a5f596e4ababa1edaee3a4593,resilience4j.circuitbreaker.instances.clienteListarPorIdCB,0,4,False,10,False,0.4,False
DavidDevlo/big-data,config-data/ms-venta-service.yml,7e1bd005834e5f1a5f596e4ababa1edaee3a4593,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
DavidDevlo/big-data,config-data/ms-venta-service.yml,7e1bd005834e5f1a5f596e4ababa1edaee3a4593,resilience4j.circuitbreaker.instances.usuarioListarPorIdCB,0,4,False,10,False,0.4,False
miikuru002/FlexiDorms,config-data/bookings-service.yml,4218c7488a21792b705280d457c720fcdd17047f,resilience4j.circuitbreaker.instances.account-cb,0,5,False,10,False,0.5,False
miikuru002/FlexiDorms,config-data/bookings-service.yml,4218c7488a21792b705280d457c720fcdd17047f,resilience4j.circuitbreaker.instances.rooms-cb,0,5,False,10,False,0.5,False
gustavolire23/config-file,user-app.yml,075fc0700717a4c3397625c7980cd99d47d687c1,resilience4j.circuitbreaker.instances.project-app,0,4,False,10,False,0.4,False
OtusTeam/Java-Advanced-03-homework,sgribkov/user-service/src/main/resources/application.yml,ce05ed3495f5e86e1dc0a3d2cd7fcc148f578c48,resilience4j.circuitbreaker.instances.getUserAgeCircuitBreaker,1,3,False,10,False,0.3,False
23Vvrangler/PROYECTO-DAAA,config-data/categoria-service.yml,2bb131e651f5be91b2a4c768a3772d654d029089,resilience4j.circuitbreaker.instances.pedidoListarPorIdCB,0,4,False,10,False,0.4,False
Uhziel-1/SV.2025-1,config-data/ms-compra-service.yml,fd2aec94cc90952499924ea84752e18b0670a107,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
JIMY-BETANZOS-1/CONTABILIDAD,config-data/ms-wallet-service.yml,6fc7156569a3b73bd6a97b90faaa59c645e25cf4,resilience4j.circuitbreaker.instances.fallbackGetUserById,0,4,False,10,False,0.4,False
JIMY-BETANZOS-1/CONTABILIDAD,config-data/ms-wallet-service.yml,6fc7156569a3b73bd6a97b90faaa59c645e25cf4,resilience4j.circuitbreaker.instances.fallbackGetEventById,0,4,False,10,False,0.4,False
JIMY-BETANZOS-1/CONTABILIDAD,config-data/ms-wallet-service.yml,6fc7156569a3b73bd6a97b90faaa59c645e25cf4,resilience4j.circuitbreaker.instances.fallbackUpdateEventSpent,0,4,False,10,False,0.4,False
JIMY-BETANZOS-1/CONTABILIDAD,config-data/ms-wallet-service.yml,6fc7156569a3b73bd6a97b90faaa59c645e25cf4,resilience4j.circuitbreaker.instances.fallbackCategoryById,0,4,False,10,False,0.4,False
JIMY-BETANZOS-1/CONTABILIDAD,config-data/ms-wallet-service.yml,6fc7156569a3b73bd6a97b90faaa59c645e25cf4,resilience4j.circuitbreaker.instances.fallbackSubcategoryById,0,4,False,10,False,0.4,False
JIMY-BETANZOS-1/CONTABILIDAD,config-data/ms-wallet-service.yml,6fc7156569a3b73bd6a97b90faaa59c645e25cf4,resilience4j.circuitbreaker.instances.fallbackCategoriesByUser,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.productoListarByIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.bordadoListarByIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.colorListarByIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.tamanoListarByIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.clienteListarByIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.estadoListarByIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.historialEstadoPedidoCrearCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.buscarByProductoAndTamanoCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-pedido-service.yml,4bad837dc83d73250efcaef1ac3be2774733d95e,resilience4j.circuitbreaker.instances.buscarByBordadoAndTamanoCB,0,4,False,10,False,0.4,False
Melmin2727/Practica-2025,config-data/ms-pedido-service.yml,299f16f1800a43e720b70705a8aeba1b4bcfa22d,resilience4j.circuitbreaker.instances.orderByIdCB,0,4,False,10,False,0.4,False
Melmin2727/Practica-2025,config-data/ms-pedido-service.yml,299f16f1800a43e720b70705a8aeba1b4bcfa22d,resilience4j.circuitbreaker.instances.clientByIdCB,0,4,False,10,False,0.4,False
Melmin2727/EVALUACION1,config-data/jea-venta-service.yml,4d6bf80d5b8bb73c0e896b93eb0202e5b709a7d0,resilience4j.circuitbreaker.instances.orderByIdCB,0,4,False,10,False,0.4,False
Melmin2727/EVALUACION1,config-data/jea-venta-service.yml,4d6bf80d5b8bb73c0e896b93eb0202e5b709a7d0,resilience4j.circuitbreaker.instances.clientByIdCB,0,4,False,10,False,0.4,False
fransasdsa/dist,config-data/ms-pedido-service.yml,9951c311ac69545242772d8a425694d5661f8729,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
fransasdsa/dist,config-data/ms-pedido-service.yml,9951c311ac69545242772d8a425694d5661f8729,resilience4j.circuitbreaker.instances.clienteListarPorIdCB,0,4,False,10,False,0.4,False
Uhziel-1/proyect-artludex-backend,config-data/ms-estado-service.yml,7ba8efec28fdcb63b582430ffd7fbc27fd404bc2,resilience4j.circuitbreaker.instances.pedidoListarByIdCB,0,4,False,10,False,0.4,False
bboyarchix/ProyectoVentas,config-data/ms-pedido-service.yml,86f938b32562bc64c31546cdb8b2293c72e4c10f,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
bboyarchix/ProyectoVentas,config-data/ms-pedido-service.yml,86f938b32562bc64c31546cdb8b2293c72e4c10f,resilience4j.circuitbreaker.instances.clienteListarPorIdCB,0,4,False,10,False,0.4,False
bboyarchix/ProyectoDistribuidas,config-data/ms-pedido-service.yml,b372c4b8b459e20629555e4f6a3bb7ec30d7856e,resilience4j.circuitbreaker.instances.productListByIdCB,0,4,False,10,False,0.4,False
bboyarchix/ProyectoDistribuidas,config-data/ms-pedido-service.yml,b372c4b8b459e20629555e4f6a3bb7ec30d7856e,resilience4j.circuitbreaker.instances.clientListByIdCB,0,4,False,10,False,0.4,False
vladimirqt233/Proyecto-Integrador,config-data/ms-pedido-service.yml,bfe8df82acdd9d764eb1bd9c50ea3e0f7255d127,resilience4j.circuitbreaker.instances.productListByIdCB,0,4,False,10,False,0.4,False
vladimirqt233/Proyecto-Integrador,config-data/ms-pedido-service.yml,bfe8df82acdd9d764eb1bd9c50ea3e0f7255d127,resilience4j.circuitbreaker.instances.clientListByIdCB,0,4,False,10,False,0.4,False
monowai/beancounter,svc-agent/src/main/resources/application.yml,16c35f1878dc6fd3d0fb23dd863eee1e6290638f,resilience4j.circuitbreaker.configs.default,4,100,True,10,False,10.0,False
talhaansari04/igse-authentication,src/main/resources/application.yml,fe824cdf597829131d7aabcd3d12d29a0a5dcaf6,resilience4j.circuitbreaker.instances.wallet,0,20,False,10,False,2.0,False
bkjeon1614/java-example-code,java11/bkjeon-mybatis-codebase/base-api/src/main/resources/application.yml,2e73ba2e3b0f55ac5194c805c179a9d5fe7528a1,resilience4j.circuitbreaker.configs.default,7,10,False,10,False,1.0,True
JoseManuel159/Practica,config-data/ms-pedido-service.yml,299f16f1800a43e720b70705a8aeba1b4bcfa22d,resilience4j.circuitbreaker.instances.orderByIdCB,0,4,False,10,False,0.4,False
JoseManuel159/Practica,config-data/ms-pedido-service.yml,299f16f1800a43e720b70705a8aeba1b4bcfa22d,resilience4j.circuitbreaker.instances.clientByIdCB,0,4,False,10,False,0.4,False
JoseManuel159/Evaluacion,config-data/jea-venta-service.yml,4d6bf80d5b8bb73c0e896b93eb0202e5b709a7d0,resilience4j.circuitbreaker.instances.orderByIdCB,0,4,False,10,False,0.4,False
JoseManuel159/Evaluacion,config-data/jea-venta-service.yml,4d6bf80d5b8bb73c0e896b93eb0202e5b709a7d0,resilience4j.circuitbreaker.instances.clientByIdCB,0,4,False,10,False,0.4,False
RusselCH/agsdgsad,config-data/ms-pedido-service.yml,9951c311ac69545242772d8a425694d5661f8729,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
RusselCH/agsdgsad,config-data/ms-pedido-service.yml,9951c311ac69545242772d8a425694d5661f8729,resilience4j.circuitbreaker.instances.clienteListarPorIdCB,0,4,False,10,False,0.4,False
bboyarchix/ultimoDAD,config-data/ms-pedido-service.yml,86f938b32562bc64c31546cdb8b2293c72e4c10f,resilience4j.circuitbreaker.instances.productoListarPorIdCB,0,4,False,10,False,0.4,False
bboyarchix/ultimoDAD,config-data/ms-pedido-service.yml,86f938b32562bc64c31546cdb8b2293c72e4c10f,resilience4j.circuitbreaker.instances.clienteListarPorIdCB,0,4,False,10,False,0.4,False
